schema_version,experiment_id,run_id,timestamp_utc,circuit_id,circuit_family,circuit_type,benchmark_suite,n_qubits,depth,gate_count_total,gate_count_1q,gate_count_2q,gate_count_multiq,gate_counts_json,commuting_block_count,mean_block_size,max_block_size,cancellable_pair_count,mergeable_rotation_count,adjacent_commuting_pairs,commutation_enabled_inverse_pairs,structural_lower_bound,structural_upper_bound_reduction,observed_best_gate_count,observed_best_reduction,ceiling_gap,ceiling_gap_pct,ceiling_gap_negative,best_optimizer,best_compiler,analysis_method,analysis_version,source_file,source_sha256,input_circuit_sha256,env_id,notes,seed,trial
1.0.0,E13,e13_smoke_20260721_051816,2026-07-21T05:18:16.853012+00:00,qft_3,QFT,qft,extended_v5_smoke,3,5,6,3,3,0,"{""cp"":3,""h"":3}",5,1.2,2,0,0,1,0,6,0.0,6,0.0,0.0,0.0,False,hybrid_phase1_2,not_evaluated_in_e13,local_commutation_window_10,4.0.0,experiments/e13_structural_ceiling/run.py,97948883da9a12095d926ac796187d617a7329e2b6c007cb270aa9d203961141,0ac4b0a0e813ec474432f4044e46798bce4668210034b65414d4d5303e67f710,e13_smoke_20260721_051816,upper-bound proxy; overlapping opportunities may double-count,42,0
1.0.0,E13,e13_smoke_20260721_051816,2026-07-21T05:18:16.853012+00:00,ghz_3,GHZ,ghz,extended_v5_smoke,3,3,3,1,2,0,"{""cx"":2,""h"":1}",3,1.0,1,0,0,0,0,3,0.0,3,0.0,0.0,0.0,False,hybrid_phase1_2,not_evaluated_in_e13,local_commutation_window_10,4.0.0,experiments/e13_structural_ceiling/run.py,97948883da9a12095d926ac796187d617a7329e2b6c007cb270aa9d203961141,c69d250a367e14af30448dc6336a129d4b1d3025bf8f24a8e752571bfc1813ba,e13_smoke_20260721_051816,upper-bound proxy; overlapping opportunities may double-count,42,1
1.0.0,E13,e13_smoke_20260721_051816,2026-07-21T05:18:16.868280+00:00,cnot_chain_3,CNOT,cnot_chain,extended_v5_smoke,3,16,16,0,16,0,"{""cx"":16}",16,1.0,1,8,0,0,0,0,1.0,0,1.0,0.0,0.0,False,hybrid_phase1_2,not_evaluated_in_e13,local_commutation_window_10,4.0.0,experiments/e13_structural_ceiling/run.py,97948883da9a12095d926ac796187d617a7329e2b6c007cb270aa9d203961141,f3e1cc1549652f162539e9c0634f98494d1781a08f998296495d4a11a19ae4e8,e13_smoke_20260721_051816,upper-bound proxy; overlapping opportunities may double-count,42,2
1.0.0,E13,e13_smoke_20260721_051816,2026-07-21T05:18:16.868280+00:00,bv_3,Oracle,bernstein_vazirani,extended_v5_smoke,4,6,12,10,2,0,"{""cx"":2,""h"":8,""x"":2}",4,3.0,5,0,0,8,1,10,0.16666666666666666,10,0.16666666666666663,2.7755575615628914e-17,2.7755575615628914e-15,False,hybrid_phase1_2,not_evaluated_in_e13,local_commutation_window_10,4.0.0,experiments/e13_structural_ceiling/run.py,97948883da9a12095d926ac796187d617a7329e2b6c007cb270aa9d203961141,2b1cde4abea2ed44a9eb8279de400f807116abcb88a364fd04bbb05b1c3244ae,e13_smoke_20260721_051816,upper-bound proxy; overlapping opportunities may double-count,45,3
1.0.0,E13,e13_smoke_20260721_051816,2026-07-21T05:18:16.883568+00:00,qaoa_line_3,QAOA,qaoa_line,extended_v5_smoke,3,8,12,8,4,0,"{""cx"":4,""u"":8}",9,1.3333333333333333,2,0,0,3,0,12,0.0,12,0.0,0.0,0.0,False,hybrid_phase1_2,not_evaluated_in_e13,local_commutation_window_10,4.0.0,experiments/e13_structural_ceiling/run.py,97948883da9a12095d926ac796187d617a7329e2b6c007cb270aa9d203961141,7a7b6ebb8e44692817a8f944a158deeae90ddff8eabe43a2cdf9f6410f0e414e,e13_smoke_20260721_051816,upper-bound proxy; overlapping opportunities may double-count,145,4
1.0.0,E13,e13_smoke_20260721_051816,2026-07-21T05:18:16.898891+00:00,vqe_twolocal_3,VQE,two_local,extended_v5_smoke,3,6,14,12,2,0,"{""cx"":2,""u"":12}",5,2.8,4,0,0,9,0,14,0.0,14,0.0,0.0,0.0,False,hybrid_phase1_2,not_evaluated_in_e13,local_commutation_window_10,4.0.0,experiments/e13_structural_ceiling/run.py,97948883da9a12095d926ac796187d617a7329e2b6c007cb270aa9d203961141,adbb573abb4f5c6712cb2a7779fe9402ddf4291a2f901c8b4e6a65fe1a584800,e13_smoke_20260721_051816,upper-bound proxy; overlapping opportunities may double-count,245,5
1.0.0,E13,e13_smoke_20260721_051816,2026-07-21T05:18:16.914249+00:00,hardware_eff_3,HardwareEfficient,hardware_efficient,extended_v5_smoke,3,4,8,6,2,0,"{""cx"":2,""ry"":3,""rz"":3}",5,1.6,2,0,0,3,0,8,0.0,8,0.0,0.0,0.0,False,hybrid_phase1_2,not_evaluated_in_e13,local_commutation_window_10,4.0.0,experiments/e13_structural_ceiling/run.py,97948883da9a12095d926ac796187d617a7329e2b6c007cb270aa9d203961141,b709108e49121262a7bd1442a340e4ff0e27a5ffa45c9e03733cd523d15478ea,e13_smoke_20260721_051816,upper-bound proxy; overlapping opportunities may double-count,345,6
1.0.0,E13,e13_smoke_20260721_051816,2026-07-21T05:18:16.928283+00:00,grover_3,Grover,grover,extended_v5_smoke,3,11,23,21,0,2,"{""ccx"":2,""h"":13,""x"":8}",13,1.7692307692307692,5,0,0,10,2,19,0.17391304347826086,19,0.17391304347826086,0.0,0.0,False,hybrid_phase1_2,not_evaluated_in_e13,local_commutation_window_10,4.0.0,experiments/e13_structural_ceiling/run.py,97948883da9a12095d926ac796187d617a7329e2b6c007cb270aa9d203961141,4919c6a54e51fe092d959dc79954a48e23b877bb12ed03b45dc4b47a72222587,e13_smoke_20260721_051816,upper-bound proxy; overlapping opportunities may double-count,445,7
1.0.0,E13,e13_smoke_20260721_051816,2026-07-21T05:18:16.929288+00:00,adder_3,Adder,quantum_adder,extended_v5_smoke,4,6,6,1,2,3,"{""ccx"":3,""cx"":2,""x"":1}",6,1.0,1,0,0,0,0,6,0.0,6,0.0,0.0,0.0,False,hybrid_phase1_2,not_evaluated_in_e13,local_commutation_window_10,4.0.0,experiments/e13_structural_ceiling/run.py,97948883da9a12095d926ac796187d617a7329e2b6c007cb270aa9d203961141,376ceef4983731f7550ead348027cf64df326a3131ced4b5445918208feab683,e13_smoke_20260721_051816,upper-bound proxy; overlapping opportunities may double-count,545,8
1.0.0,E13,e13_smoke_20260721_051816,2026-07-21T05:18:17.054553+00:00,qwalk_3,QuantumWalk,quantum_walk,extended_v5_smoke,4,29,46,28,6,12,"{""ccx"":6,""cx"":6,""h"":3,""mcx"":6,""ry"":1,""x"":24}",26,1.7692307692307692,5,0,0,20,0,46,0.0,46,0.0,0.0,0.0,False,hybrid_phase1_2,not_evaluated_in_e13,local_commutation_window_10,4.0.0,experiments/e13_structural_ceiling/run.py,97948883da9a12095d926ac796187d617a7329e2b6c007cb270aa9d203961141,bd97910978c45d89b2e706cb72ed5c7ad32da6f9c7c4cef89372874f609bb98d,e13_smoke_20260721_051816,upper-bound proxy; overlapping opportunities may double-count,645,9
1.0.0,E13,e13_smoke_20260721_051816,2026-07-21T05:18:17.065895+00:00,iqp_3,IQP,iqp,extended_v5_smoke,3,7,17,15,2,0,"{""cz"":2,""h"":6,""rz"":9}",2,8.5,10,0,0,15,0,17,0.0,17,0.0,0.0,0.0,False,hybrid_phase1_2,not_evaluated_in_e13,local_commutation_window_10,4.0.0,experiments/e13_structural_ceiling/run.py,97948883da9a12095d926ac796187d617a7329e2b6c007cb270aa9d203961141,d02e3ecde9f57aa38d95595a12111ce2c60c01c291e4e33c0d19e7f94ca55c62,e13_smoke_20260721_051816,upper-bound proxy; overlapping opportunities may double-count,745,10
1.0.0,E13,e13_smoke_20260721_051816,2026-07-21T05:18:17.093128+00:00,clifford_3,RandomClifford,random_clifford,extended_v5_smoke,3,12,25,21,4,0,"{""cx"":4,""h"":12,""s"":9}",6,4.166666666666667,8,0,0,19,8,9,0.64,15,0.4,0.24,24.0,False,hybrid_phase1_2,not_evaluated_in_e13,local_commutation_window_10,4.0.0,experiments/e13_structural_ceiling/run.py,97948883da9a12095d926ac796187d617a7329e2b6c007cb270aa9d203961141,85dfe98fd4307bc57ac18eb29d0be9cedbae20ad1cfc120617cc115f7595d373,e13_smoke_20260721_051816,upper-bound proxy; overlapping opportunities may double-count,845,11
1.0.0,E13,e13_smoke_20260721_051816,2026-07-21T05:18:17.097652+00:00,surface_code_3,SurfaceCode,surface_code,extended_v5_smoke,5,6,6,2,4,0,"{""cx"":4,""h"":2}",6,1.0,1,0,0,0,0,6,0.0,6,0.0,0.0,0.0,False,hybrid_phase1_2,not_evaluated_in_e13,local_commutation_window_10,4.0.0,experiments/e13_structural_ceiling/run.py,97948883da9a12095d926ac796187d617a7329e2b6c007cb270aa9d203961141,98123c419282ef8d7ead755526545f8d1b8e6129c506a92b5eb114e588eb0ab3,e13_smoke_20260721_051816,upper-bound proxy; overlapping opportunities may double-count,945,12
1.0.0,E13,e13_smoke_20260721_051816,2026-07-21T05:18:17.097652+00:00,uccsd_3,UCCSD_inspired,uccsd_inspired_ansatz,extended_v5_smoke,3,4,7,5,2,0,"{""cx"":2,""ry"":4,""x"":1}",5,1.4,2,0,0,2,0,7,0.0,7,0.0,0.0,0.0,False,hybrid_phase1_2,not_evaluated_in_e13,local_commutation_window_10,4.0.0,experiments/e13_structural_ceiling/run.py,97948883da9a12095d926ac796187d617a7329e2b6c007cb270aa9d203961141,0e499410a12fe3d46da1324e02e57047df8aeca8ecafc81a05fd4297239070f2,e13_smoke_20260721_051816,upper-bound proxy; overlapping opportunities may double-count,1045,13
1.0.0,E13,e13_smoke_20260721_051816,2026-07-21T05:18:17.119101+00:00,qft_4,QFT,qft,extended_v5_smoke,4,7,10,4,6,0,"{""cp"":6,""h"":4}",8,1.25,2,0,0,2,0,10,0.0,10,0.0,0.0,0.0,False,hybrid_phase1_2,not_evaluated_in_e13,local_commutation_window_10,4.0.0,experiments/e13_structural_ceiling/run.py,97948883da9a12095d926ac796187d617a7329e2b6c007cb270aa9d203961141,ec754f7e3892ee8ca405ace36ffa2cf3d8489863d2f83852f623de773dd94b1e,e13_smoke_20260721_051816,upper-bound proxy; overlapping opportunities may double-count,42,14
1.0.0,E13,e13_smoke_20260721_051816,2026-07-21T05:18:17.119101+00:00,ghz_4,GHZ,ghz,extended_v5_smoke,4,4,4,1,3,0,"{""cx"":3,""h"":1}",4,1.0,1,0,0,0,0,4,0.0,4,0.0,0.0,0.0,False,hybrid_phase1_2,not_evaluated_in_e13,local_commutation_window_10,4.0.0,experiments/e13_structural_ceiling/run.py,97948883da9a12095d926ac796187d617a7329e2b6c007cb270aa9d203961141,632a65a86fd9bfab17ccedbd10b32b45490cc33030a23af0d675ad3e8ad7a445,e13_smoke_20260721_051816,upper-bound proxy; overlapping opportunities may double-count,42,15
1.0.0,E13,e13_smoke_20260721_051816,2026-07-21T05:18:17.126624+00:00,cnot_chain_4,CNOT,cnot_chain,extended_v5_smoke,4,18,24,0,24,0,"{""cx"":24}",21,1.1428571428571428,2,12,0,3,0,0,1.0,0,1.0,0.0,0.0,False,hybrid_phase1_2,not_evaluated_in_e13,local_commutation_window_10,4.0.0,experiments/e13_structural_ceiling/run.py,97948883da9a12095d926ac796187d617a7329e2b6c007cb270aa9d203961141,c15ccd1efbe0b71c21464e888a978afbe6b6cf006bd895873c7d9b8e51efbaf0,e13_smoke_20260721_051816,upper-bound proxy; overlapping opportunities may double-count,42,16
1.0.0,E13,e13_smoke_20260721_051816,2026-07-21T05:18:17.141901+00:00,bv_4,Oracle,bernstein_vazirani,extended_v5_smoke,5,6,14,12,2,0,"{""cx"":2,""h"":10,""x"":2}",4,3.5,6,0,0,10,2,10,0.2857142857142857,10,0.2857142857142857,0.0,0.0,False,hybrid_phase1_2,not_evaluated_in_e13,local_commutation_window_10,4.0.0,experiments/e13_structural_ceiling/run.py,97948883da9a12095d926ac796187d617a7329e2b6c007cb270aa9d203961141,f82545ab8dd2e124bb20b12a2943a1f6d29666837c03c9275f4c803dc1929c72,e13_smoke_20260721_051816,upper-bound proxy; overlapping opportunities may double-count,46,17
1.0.0,E13,e13_smoke_20260721_051816,2026-07-21T05:18:17.157221+00:00,qaoa_line_4,QAOA,qaoa_line,extended_v5_smoke,4,11,17,11,6,0,"{""cx"":6,""u"":11}",13,1.3076923076923077,2,0,0,4,0,17,0.0,17,0.0,0.0,0.0,False,hybrid_phase1_2,not_evaluated_in_e13,local_commutation_window_10,4.0.0,experiments/e13_structural_ceiling/run.py,97948883da9a12095d926ac796187d617a7329e2b6c007cb270aa9d203961141,e20ffcb1a9717778c70580faf6b1a64698209f87c655bd7f0f057d368861bd74,e13_smoke_20260721_051816,upper-bound proxy; overlapping opportunities may double-count,146,18
1.0.0,E13,e13_smoke_20260721_051816,2026-07-21T05:18:17.172572+00:00,vqe_twolocal_4,VQE,two_local,extended_v5_smoke,4,7,19,16,3,0,"{""cx"":3,""u"":16}",7,2.7142857142857144,4,0,0,12,0,19,0.0,19,0.0,0.0,0.0,False,hybrid_phase1_2,not_evaluated_in_e13,local_commutation_window_10,4.0.0,experiments/e13_structural_ceiling/run.py,97948883da9a12095d926ac796187d617a7329e2b6c007cb270aa9d203961141,35d1276057c9c8f78eff72f8e8af5f71640c17187cc09d1d2be31d47d99c592f,e13_smoke_20260721_051816,upper-bound proxy; overlapping opportunities may double-count,246,19
1.0.0,E13,e13_smoke_20260721_051816,2026-07-21T05:18:17.172572+00:00,hardware_eff_4,HardwareEfficient,hardware_efficient,extended_v5_smoke,4,4,11,8,3,0,"{""cx"":3,""ry"":4,""rz"":4}",6,1.8333333333333333,3,0,0,5,0,11,0.0,11,0.0,0.0,0.0,False,hybrid_phase1_2,not_evaluated_in_e13,local_commutation_window_10,4.0.0,experiments/e13_structural_ceiling/run.py,97948883da9a12095d926ac796187d617a7329e2b6c007cb270aa9d203961141,33988bf724ee4f0288b21c44f5541594b36c74bf2c579fbd6e43ba76ba98305d,e13_smoke_20260721_051816,upper-bound proxy; overlapping opportunities may double-count,346,20
